CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_FRAUD,DAY,MONTH,YEAR,HOUR,MINUTE
566,5056,20.71,0,4,4,2018,14,34
524,1445,13.04,0,2,4,2018,10,46
2457,4068,157.29,0,2,4,2018,6,17
1636,3895,94.08,0,3,4,2018,0,2
4466,6925,24.55,0,4,4,2018,12,59
2641,147,25.32,0,4,4,2018,16,45
4790,9937,17.69,0,1,4,2018,11,9
1181,8260,27.49,0,5,4,2018,17,36
4944,6217,112.48,0,5,4,2018,4,18
2340,3709,69.38,0,6,4,2018,7,51
4683,6847,14.31,0,1,4,2018,1,50
3474,8078,3.59,0,2,4,2018,21,38
438,1291,21.71,0,7,4,2018,8,23
1456,6793,72.22,0,5,4,2018,0,52
4402,7510,13.92,0,2,4,2018,5,9
3325,8889,5.06,0,5,4,2018,8,23
1124,1083,42.62,0,4,4,2018,17,20
4347,6966,2.75,0,1,4,2018,8,37
4393,7404,6.23,0,1,4,2018,13,48
71,1385,222.0,1,2,5,2018,11,17
245,1053,227.0,1,16,4,2018,6,59
2509,6715,72.33,0,5,4,2018,9,46
1410,3294,174.86,0,3,4,2018,20,46
2895,8698,34.21,0,5,4,2018,6,33
3805,4859,42.94,0,7,4,2018,7,22
4661,4391,142.36,0,1,4,2018,10,29
1561,9704,207.0,1,23,4,2018,13,25
3855,8092,27.99,0,5,4,2018,7,12
2464,2581,76.55,0,4,4,2018,17,26
1722,6773,129.43,0,5,4,2018,19,25
4412,2840,125.72,0,2,4,2018,12,4
2912,9110,13.94,0,4,4,2018,9,52
672,8207,32.91,0,6,4,2018,15,53
2953,8140,23.47,0,6,4,2018,7,18
723,5727,88.9,0,5,4,2018,4,39
1090,6266,76.46,0,5,4,2018,8,52
2513,7327,90.31,0,5,4,2018,7,4
1950,8602,12.99,0,3,4,2018,11,12
380,4116,57.78,0,2,4,2018,13,8
3016,7780,40.72,0,1,4,2018,7,46
3275,1855,26.5,0,6,4,2018,6,10
